D_REG,BRAND,MODEL,MAKE_YEAR,COLOR,FUEL,N_REG_NEW
03.02.2021,SKODA,OCTAVIA A5,2012,БЕЖЕВИЙ,БЕНЗИН,ВІ9541ЕХ
25.02.2021,SKODA,YETI,2012,КОРИЧНЕВИЙ,БЕНЗИН,КА1208СР
02.03.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,СА8200ІВ
30.03.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,ВХ4462ЕО
26.01.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН,ВХ9212ВН
22.01.2021,SKODA,OCTAVIA A5,2012,БЕЖЕВИЙ,ДИЗЕЛЬНЕ ПАЛИВО,ВІ7607ЕХ
13.03.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,АІ2526КР
18.02.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН,АЕ8259ОХ
05.01.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН,ВХ0260ЕМ
20.01.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО,ВТ7606СМ
21.01.2021,SKODA,OCTAVIA A5,2012,ЗЕЛЕНИЙ,БЕНЗИН АБО ГАЗ,ВС8391ЕХ
02.02.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН АБО ГАЗ,АВ3283ІА
26.03.2021,SKODA,FABIA,2012,ЗЕЛЕНИЙ,БЕНЗИН,КА1158ВХ
30.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,ВХ3747ЕО
27.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,АВ1428НО
20.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН,АХ4986КС
02.02.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН,АІ6980ЕА
18.02.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН,ВА7328ЕК
20.01.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН,СА3369ІЕ
30.03.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН,АХ3333ОІ
23.01.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН,КА6775ВТ
24.02.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО,АЕ7180ОР
03.02.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН,АР0578ІВ
17.03.2021,SKODA,YETI,2012,БЕЖЕВИЙ,БЕНЗИН,ВН8652ОК
30.01.2021,SKODA,OCTAVIA A5,2012,БЕЖЕВИЙ,БЕНЗИН АБО ГАЗ,ВВ8023ЕТ
17.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН,ВЕ9363ЕІ
03.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,ВЕ5197ЕІ
14.01.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН,КА9880ВТ
23.03.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН,АЕ4048ОХ
20.03.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,ДИЗЕЛЬНЕ ПАЛИВО,СА7077ВВ
16.03.2021,SKODA,FABIA,2012,БЕЖЕВИЙ,БЕНЗИН АБО ГАЗ,КА7971ВА
26.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН,АЕ1996ОІ
11.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН,АЕ1227РА
20.02.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,АЕ9004ОТ
13.02.2021,SKODA,SUPERB,2012,БІЛИЙ,ДИЗЕЛЬНЕ ПАЛИВО,АІ8471МН
27.02.2021,SKODA,SUPERB,2012,БІЛИЙ,ДИЗЕЛЬНЕ ПАЛИВО,АА3536РР
10.03.2021,SKODA,FABIA,2012,СІРИЙ,БЕНЗИН,КА9743ВК
16.03.2021,SKODA,FABIA,2012,БЕЖЕВИЙ,БЕНЗИН,КА4132СА
06.01.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,ВС9897МЕ
06.01.2021,SKODA,FABIA,2012,СИНІЙ,БЕНЗИН,СЕ7350СА
16.01.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО,ВА5611ЕК
24.03.2021,SKODA,FABIA,2012,ЧЕРВОНИЙ,БЕНЗИН,ВТ2363СО
18.02.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН,АІ4922МН
12.02.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН АБО ГАЗ,АЕ8265ІК
04.01.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН АБО ГАЗ,АЕ8265ІК
26.02.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН,КА2115АЕ
20.02.2021,SKODA,SUPERB,2012,КОРИЧНЕВИЙ,БЕНЗИН,АЕ8449ОХ
21.01.2021,SKODA,SUPERB,2012,КОРИЧНЕВИЙ,БЕНЗИН,АС1925ЕК
09.01.2021,SKODA,OCTAVIA,2012,ЗЕЛЕНИЙ,БЕНЗИН,АА7774НК
24.03.2021,SKODA,FABIA,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,ВІ4429НА
25.02.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН,ВС3402МК
13.01.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН,СВ9229СВ
05.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН,ВВ8420ЕТ
22.01.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,ВА4244ВА
13.03.2021,SKODA,SUPERB,2012,КОРИЧНЕВИЙ,БЕНЗИН,АТ2101ЕМ
20.03.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН,АЕ4297РН
09.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,АЕ8378ОТ
21.01.2021,SKODA,FABIA,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,КА7018ВО
13.02.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,КА7083ВТ
06.01.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН,СА9056ІА
26.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,ВА7164ЕК
06.01.2021,SKODA,SUPERB,2012,КОРИЧНЕВИЙ,БЕНЗИН,АІ5331МН
10.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО,КІ0101СС
10.03.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН,АЕ2329РВ
18.03.2021,SKODA,OCTAVIA A5,2012,ЗЕЛЕНИЙ,БЕНЗИН,АІ1021РТ
19.02.2021,SKODA,OCTAVIA A5,2012,ЗЕЛЕНИЙ,БЕНЗИН АБО ГАЗ,АН9967ОІ
09.02.2021,SKODA,FABIA,2012,БЕЖЕВИЙ,БЕНЗИН АБО ГАЗ,КА9460ВМ
12.01.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН,АР8050ІВ
04.01.2021,SKODA,FABIA,2012,ЧЕРВОНИЙ,БЕНЗИН,АІ7731КХ
20.01.2021,SKODA,FABIA,2012,ЧЕРВОНИЙ,БЕНЗИН,АІ8207ММ
10.03.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН,АХ4685КЕ
18.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН,АХ4265КЕ
27.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН,ВІ3130ЕО
02.02.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН АБО ГАЗ,АЕ4215РВ
23.02.2021,SKODA,FABIA,2012,ЖОВТИЙ,БЕНЗИН АБО ГАЗ,СВ9528СХ
28.01.2021,SKODA,FABIA,2012,СІРИЙ,БЕНЗИН,АЕ6723РА
28.01.2021,SKODA,FABIA,2012,СІРИЙ,БЕНЗИН,АЕ3300КТ
21.01.2021,SKODA,FABIA,2012,ЖОВТИЙ,БЕНЗИН,АІ0234МК
21.01.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,АТ4305ЕР
14.01.2021,SKODA,FABIA,2012,ЖОВТИЙ,БЕНЗИН АБО ГАЗ,АЕ6862ОР
27.01.2021,SKODA,FABIA,2012,ЖОВТИЙ,БЕНЗИН АБО ГАЗ,АЕ1818МК
25.02.2021,SKODA,FABIA,2012,ЖОВТИЙ,БЕНЗИН,КА1356СО
12.01.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,ДИЗЕЛЬНЕ ПАЛИВО,ВА5167ЕК
06.02.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН,ВІ4063ЕО
11.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН,АХ2378КЕ
11.02.2021,SKODA,FABIA,2012,БЕЖЕВИЙ,БЕНЗИН,ВЕ9361ЕІ
04.01.2021,SKODA,SUPERB,2012,КОРИЧНЕВИЙ,БЕНЗИН,АЕ7640ОТ
17.02.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН,КА5695ВО
12.02.2021,SKODA,OCTAVIA A5 COMBI,2012,БІЛИЙ,БЕНЗИН,ВТ6981СО
06.01.2021,SKODA,FABIA,2012,ЧЕРВОНИЙ,БЕНЗИН,АІ7298МА
24.03.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН,КА7309СА
23.02.2021,SKODA,YETI,2012,КОРИЧНЕВИЙ,БЕНЗИН,АХ8317ІХ
25.02.2021,SKODA,FABIA,2012,ЖОВТИЙ,БЕНЗИН,КА1346СО
06.02.2021,SKODA,FABIA,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,АІ4289МН
13.01.2021,SKODA,FABIA,2012,ЧЕРВОНИЙ,БЕНЗИН,АІ7476КО
05.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,АІ1830МА
30.01.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН,АХ7855КВ
28.01.2021,SKODA,SUPERB,2012,КОРИЧНЕВИЙ,БЕНЗИН,ВС3280МК
02.02.2021,SKODA,OCTAVIA A5 COMBI,2012,СІРИЙ,БЕНЗИН,ВІ9067ЕХ
17.03.2021,SKODA,YETI,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО,АА6272НН
28.01.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО,АО1561НА
02.03.2021,SKODA,FABIA,2012,СІРИЙ,БЕНЗИН,АЕ5000СТ
16.01.2021,SKODA,OCTAVIA A5,2012,ЗЕЛЕНИЙ,БЕНЗИН АБО ГАЗ,АЕ2568ОТ
03.02.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО,АВ3440ІА
16.03.2021,SKODA,OCTAVIA,2012,СІРИЙ,БЕНЗИН,КА4149СА
06.02.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,АЕ4358РВ
04.03.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,ВЕ5239ЕК
09.02.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН,АА8405ОХ
11.03.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,КА8311СО
20.03.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН,АЕ6985ОР
13.02.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН АБО ГАЗ,СВ6288СХ
11.02.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,АА4187НН
18.03.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,АС4639СМ
05.03.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН,КА9825ВК
04.03.2021,SKODA,SUPERB,2012,ЧЕРВОНИЙ,БЕНЗИН,АН2205КХ
18.03.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН АБО ГАЗ,АІ0352МР
12.02.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН,АІ6070КТ
12.02.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН,АІ6070КТ
16.01.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН,АР9390ІС
27.02.2021,SKODA,OCTAVIA A5,2012,БЕЖЕВИЙ,ДИЗЕЛЬНЕ ПАЛИВО,АІ1725РТ
06.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,АН3780ОМ
20.02.2021,SKODA,SUPERB,2012,БІЛИЙ,БЕНЗИН,ВІ8191НА
20.02.2021,SKODA,FABIA,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,АІ9075МН
13.02.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,АР3099ЕІ
30.03.2021,SKODA,FABIA,2012,СІРИЙ,БЕНЗИН,АЕ2610РІ
05.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН,АО2930НА
24.02.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН,КА1335СО
12.03.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН,АІ8810ММ
14.01.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН,АМ6404ЕР
27.03.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН,АН4459ОК
17.03.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН,КА5259СА
06.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,СА6216ІЕ
28.01.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН,ВН3116ЕІ
13.01.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,КА4637СР
11.02.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,АМ5875ЕТ
13.03.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,ВС9750МК
10.02.2021,SKODA,OCTAVIA,2012,ЧОРНИЙ,БЕНЗИН,АІ1433МВ
12.03.2021,SKODA,SUPERB,2012,БІЛИЙ,БЕНЗИН,АХ2208КІ
06.01.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,АР3546ІС
17.03.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН,АН5760ОН
24.03.2021,SKODA,OCTAVIA A5,2012,БЕЖЕВИЙ,ДИЗЕЛЬНЕ ПАЛИВО,АР3637ІС
04.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,ДИЗЕЛЬНЕ ПАЛИВО,АН7141ОІ
23.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН,КА6541СА
18.02.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН,ВС1561МК
17.02.2021,SKODA,OCTAVIA,2012,БЕЖЕВИЙ,БЕНЗИН,АН6721КС
24.02.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО,ВН2753ОІ
20.03.2021,SKODA,OCTAVIA,2012,СІРИЙ,БЕНЗИН,ВС0489ММ
26.03.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН АБО ГАЗ,АХ8380ІХ
20.02.2021,SKODA,OCTAVIA A5,2012,СИНІЙ,БЕНЗИН,АМ6332ЕР
13.03.2021,SKODA,OCTAVIA A5 COMBI,2012,БІЛИЙ,БЕНЗИН,АЕ9193РВ
17.02.2021,SKODA,SUPERB,2012,БІЛИЙ,БЕНЗИН,АВ3133АА
17.02.2021,SKODA,SUPERB,2012,БІЛИЙ,БЕНЗИН,АВ3888ВН
11.02.2021,SKODA,YETI,2012,КОРИЧНЕВИЙ,БЕНЗИН,АН9482ОІ
02.02.2021,SKODA,YETI,2012,КОРИЧНЕВИЙ,БЕНЗИН,АН8461ОІ
04.01.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН,АВ9837НХ
25.03.2021,SKODA,OCTAVIA,2012,СИНІЙ,БЕНЗИН,АВ2120ЕМ
02.02.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО,АО9713ЕТ
02.02.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО,АО7077ЕВ
16.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО,АН5020ОН
11.02.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,ДИЗЕЛЬНЕ ПАЛИВО,АН9485ОІ
20.02.2021,SKODA,OCTAVIA A5,2012,БЕЖЕВИЙ,ДИЗЕЛЬНЕ ПАЛИВО,СА2374ІЕ
09.02.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН,АА0009СК
26.03.2021,SKODA,OCTAVIA A5,2012,БЕЖЕВИЙ,БЕНЗИН,ВТ9067СМ
06.01.2021,SKODA,SUPERB,2012,БЕЖЕВИЙ,БЕНЗИН АБО ГАЗ,СЕ4432СТ
23.02.2021,SKODA,SUPERB,2012,БЕЖЕВИЙ,БЕНЗИН,ВТ8720СМ
06.02.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,СА1442ІР
31.03.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,ВС9022МК
25.02.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН,ВЕ5894ЕН
03.03.2021,SKODA,YETI,2012,КОРИЧНЕВИЙ,БЕНЗИН,АН0312ІЕ
04.03.2021,SKODA,SUPERB,2012,ЧЕРВОНИЙ,БЕНЗИН,АМ9245ЕМ
27.01.2021,SKODA,YETI,2012,БЕЖЕВИЙ,БЕНЗИН,АН8238ОІ
20.03.2021,SKODA,FABIA,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,КА4766СА
30.03.2021,SKODA,FABIA,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,КА1338СН
10.02.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН,АЕ4814РА
11.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН,АА5572МО
04.01.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН,СА2230КІ
19.03.2021,SKODA,OCTAVIA A5,2012,ЧОРНИЙ,БЕНЗИН АБО ГАЗ,ВМ4551ВН
05.01.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН,АА9772СС
06.02.2021,SKODA,OCTAVIA A5,2012,ЧЕРВОНИЙ,БЕНЗИН,АІ6770МІ
02.02.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН,АР6818ІВ
19.03.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН АБО ГАЗ,АЕ2809РВ
29.01.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН АБО ГАЗ,АЕ3173ОА
08.01.2021,SKODA,YETI,2012,СІРИЙ,БЕНЗИН,АН5759ОІ
20.03.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН,ВК5750НН
25.02.2021,SKODA,FABIA,2012,БІЛИЙ,БЕНЗИН,СА4421ІЕ
23.02.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,ВН4303ОЕ
25.03.2021,SKODA,SUPERB,2012,БЕЖЕВИЙ,БЕНЗИН,АІ9272МН
20.02.2021,SKODA,SUPERB,2012,БЕЖЕВИЙ,БЕНЗИН,КА5131СО
18.02.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН,ВХ5958ЕМ
20.01.2021,SKODA,SUPERB,2012,БІЛИЙ,БЕНЗИН,АЕ9015ОМ
27.01.2021,SKODA,SUPERB,2012,БІЛИЙ,БЕНЗИН,АЕ6859РА
30.01.2021,SKODA,YETI,2012,БЕЖЕВИЙ,БЕНЗИН,АН8426ОІ
12.03.2021,SKODA,OCTAVIA A5,2012,БЕЖЕВИЙ,БЕНЗИН,АЕ1643РЕ
27.03.2021,SKODA,SUPERB,2012,ЧОРНИЙ,БЕНЗИН,АЕ2262КА
13.02.2021,SKODA,OCTAVIA A5,2012,БІЛИЙ,БЕНЗИН,АЕ4865РВ
25.03.2021,SKODA,SUPERB,2012,БЕЖЕВИЙ,БЕНЗИН,ВК7989НС
21.01.2021,SKODA,ROOMSTER,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,АА8663МІ
21.01.2021,SKODA,ROOMSTER,2012,БІЛИЙ,БЕНЗИН АБО ГАЗ,КА3676СР
02.02.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН,АЕ1691ОТ
25.02.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН,АЕ2866ОТ
19.02.2021,SKODA,SUPERB,2012,СІРИЙ,БЕНЗИН,АЕ2866ОТ
02.03.2021,SKODA,OCTAVIA A5,2012,СІРИЙ,БЕНЗИН АБО ГАЗ,АО8488СН
